Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Currency
2024-06-08T14:52:28-0400,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.11,0,,--,0.00,,,,,,,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,./LEM4 LEM4  240607P159,Future Option,Removal of option due to expiration,0.00,2,0.00,--,0.00,1,"./LEM4 LEM4  ",/LEM4,6/07/24,159.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,./LEM4 LEM4  240607P159,Future Option,Removal of option due to expiration,0.00,2,0.00,--,0.00,1,"./LEM4 LEM4  ",/LEM4,6/07/24,159.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,./LEM4 LEM4  240607P171,Future Option,Removal of option due to expiration,0.00,1,0.00,--,0.00,1,"./LEM4 LEM4  ",/LEM4,6/07/24,171.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,./LEM4 LEM4  240607P171,Future Option,Removal of option due to expiration,0.00,1,0.00,--,0.00,1,"./LEM4 LEM4  ",/LEM4,6/07/24,171.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Expiration,SELL_TO_CLOSE,./LEM4 LEM4  240607P172,Future Option,Removal of option due to expiration,0.00,1,0.00,--,0.00,1,"./LEM4 LEM4  ",/LEM4,6/07/24,172.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Expiration,SELL_TO_CLOSE,./LEM4 LEM4  240607P172,Future Option,Removal of option due to expiration,0.00,1,0.00,--,0.00,1,"./LEM4 LEM4  ",/LEM4,6/07/24,172.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Expiration,SELL_TO_CLOSE,./LEM4 LEM4  240607C184,Future Option,Removal of option due to expiration,0.00,1,0.00,--,0.00,1,"./LEM4 LEM4  ",/LEM4,6/07/24,184.0,CALL,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,./LEM4 LEM4  240607C185,Future Option,Removal of option due to expiration,0.00,1,0.00,--,0.00,1,"./LEM4 LEM4  ",/LEM4,6/07/24,185.0,CALL,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,./LEM4 LEM4  240607C191,Future Option,Removal of option due to expiration,0.00,2,0.00,--,0.00,1,"./LEM4 LEM4  ",/LEM4,6/07/24,191.0,CALL,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Exercise,,GME   240607P00033000,Equity Option,Removal of option due to exercise,0.00,1,0.00,--,0.00,100,GME,GME,6/07/24,33.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Sell to Open,SELL_TO_OPEN,GME,Equity,Sell to Open 100 GME @ 33.00,"3,300.00",100,33.00,--,-5.117,,,,,,,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Exercise,,NDXP  240607P19040000,Equity Option,Removal of option due to exercise,0.00,1,0.00,--,0.00,100,NDXP,NDX,6/07/24,19040.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Cash Settled Exercise,,NDXP  240607P19040000,Equity Option,Cash settlement of NDXP  240607P19040000,"3,905.00",1,"3,905.00",--,-5.00,100,NDXP,NDX,6/07/24,19040.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Assignment,,NDXP  240607P19060000,Equity Option,Removal of option due to assignment,0.00,1,0.00,--,0.00,100,NDXP,NDX,6/07/24,19060.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Cash Settled Assignment,,NDXP  240607P19060000,Equity Option,Cash settlement of NDXP  240607P19060000,"-5,905.00",1,"-5,905.00",--,-5.00,100,NDXP,NDX,6/07/24,19060.0,PUT,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Assignment,,RIVN  240607C00011000,Equity Option,Removal of option due to assignment,0.00,1,0.00,--,0.00,100,RIVN,RIVN,6/07/24,11.0,CALL,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Sell to Close,SELL_TO_CLOSE,RIVN,Equity,Sell to Close 100 RIVN @ 11.00,"1,100.00",100,11.00,--,-5.057,,,,,,,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Assignment,,RIVN  240607C00011500,Equity Option,Removal of option due to assignment,0.00,1,0.00,--,0.00,100,RIVN,RIVN,6/07/24,11.5,CALL,,USD
2024-06-07T17:00:00-0400,Receive Deliver,Sell to Close,SELL_TO_CLOSE,RIVN,Equity,Sell to Close 100 RIVN @ 11.50,"1,150.00",100,11.50,--,-5.057,,,,,,,,USD
2024-06-07T16:15:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,NDXP  240607C19060000,Equity Option,Removal of 1.0 NDX 06/07/24 Call 19060.00 due to expiration.,0.00,1,0.00,--,0.00,100,NDXP,NDX,6/07/24,19060.0,CALL,,USD
2024-06-07T16:15:00-0400,Receive Deliver,Expiration,SELL_TO_CLOSE,NDXP  240607C19080000,Equity Option,Removal of 1.0 NDX 06/07/24 Call 19080.00 due to expiration.,0.00,1,0.00,--,0.00,100,NDXP,NDX,6/07/24,19080.0,CALL,,USD
2024-06-07T16:00:57-0400,Trade,Buy to Close,BUY_TO_CLOSE,./GCQ4 OGQ4  240725P2250,Future Option,Bought 2 /GCQ4 OGQ4 07/25/24 Put 2250.00 @ 24.0,"-4,800.00",2,"-2,400.00",0.00,-3.84,1,"./GCQ4 OGQ4  ",/GCQ4,7/25/24,2250.0,PUT,326427420,USD
2024-06-07T16:00:57-0400,Trade,Sell to Close,SELL_TO_CLOSE,./GCQ4 OGQ4  240725P2260,Future Option,Sold 2 /GCQ4 OGQ4 07/25/24 Put 2260.00 @ 27.4,"5,480.00",2,"2,740.00",0.00,-3.84,1,"./GCQ4 OGQ4  ",/GCQ4,7/25/24,2260.0,PUT,326427420,USD
2024-06-07T16:00:16-0400,Trade,Buy to Close,BUY_TO_CLOSE,./GCQ4 OGQ4  240725P2200,Future Option,Bought 4 /GCQ4 OGQ4 07/25/24 Put 2200.00 @ 11.7,"-4,680.00",4,"-1,170.00",0.00,-7.68,1,"./GCQ4 OGQ4  ",/GCQ4,7/25/24,2200.0,PUT,326425656,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,SELL_TO_CLOSE,NVDA  240607C01260000,Equity Option,Removal of 1.0 NVDA 06/07/24 Call 1260.00 due to expiration.,0.00,1,0.00,--,0.00,100,NVDA,NVDA,6/07/24,1260.0,CALL,,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,NVDA  240607C01300000,Equity Option,Removal of 3.0 NVDA 06/07/24 Call 1300.00 due to expiration.,0.00,3,0.00,--,0.00,100,NVDA,NVDA,6/07/24,1300.0,CALL,,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,SELL_TO_CLOSE,NVDA  240607C01400000,Equity Option,Removal of 2.0 NVDA 06/07/24 Call 1400.00 due to expiration.,0.00,2,0.00,--,0.00,100,NVDA,NVDA,6/07/24,1400.0,CALL,,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,RIVN  240607C00012000,Equity Option,Removal of 1.0 RIVN 06/07/24 Call 12.00 due to expiration.,0.00,1,0.00,--,0.00,100,RIVN,RIVN,6/07/24,12.0,CALL,,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,META  240607P00450000,Equity Option,Removal of 4.0 META 06/07/24 Put 450.00 due to expiration.,0.00,4,0.00,--,0.00,100,META,META,6/07/24,450.0,PUT,,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,MSTR  240607C02000000,Equity Option,Removal of 2.0 MSTR 06/07/24 Call 2000.00 due to expiration.,0.00,2,0.00,--,0.00,100,MSTR,MSTR,6/07/24,2000.0,CALL,,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,SELL_TO_CLOSE,MSTR  240607C01900000,Equity Option,Removal of 1.0 MSTR 06/07/24 Call 1900.00 due to expiration.,0.00,1,0.00,--,0.00,100,MSTR,MSTR,6/07/24,1900.0,CALL,,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,SELL_TO_CLOSE,MSTR  240607C02200000,Equity Option,Removal of 1.0 MSTR 06/07/24 Call 2200.00 due to expiration.,0.00,1,0.00,--,0.00,100,MSTR,MSTR,6/07/24,2200.0,CALL,,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,RIVN  240607P00010500,Equity Option,Removal of 1.0 RIVN 06/07/24 Put 10.50 due to expiration.,0.00,1,0.00,--,0.00,100,RIVN,RIVN,6/07/24,10.5,PUT,,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,SBUX  240607C00083000,Equity Option,Removal of 1.0 SBUX 06/07/24 Call 83.00 due to expiration.,0.00,1,0.00,--,0.00,100,SBUX,SBUX,6/07/24,83.0,CALL,,USD
2024-06-07T16:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,SBUX  240607C00082000,Equity Option,Removal of 2.0 SBUX 06/07/24 Call 82.00 due to expiration.,0.00,2,0.00,--,0.00,100,SBUX,SBUX,6/07/24,82.0,CALL,,USD
2024-06-07T13:52:53-0400,Trade,Sell to Open,SELL_TO_OPEN,./6EU4 EUUU4 240906C1.14,Future Option,Sold 5 /6EU4 EUUU4 09/06/24 Call 1.14000 @ 0.0005,312.50,5,62.50,-12.50,-9.60,1,"./6EU4 EUUU4 ",/6EU4,9/06/24,1.14,CALL,326361398,USD
2024-06-07T13:52:53-0400,Trade,Sell to Open,SELL_TO_OPEN,./6EU4 EUUU4 240906P1.04,Future Option,Sold 5 /6EU4 EUUU4 09/06/24 Put 1.04000 @ 0.0012,750.00,5,150.00,-12.50,-9.60,1,"./6EU4 EUUU4 ",/6EU4,9/06/24,1.04,PUT,326361398,USD
2024-06-07T13:51:21-0400,Trade,Sell to Open,SELL_TO_OPEN,RIVN  240614P00011000,Equity Option,Sold 1 RIVN 06/14/24 Put 11.00 @ 0.20,20.00,1,20.00,-1.00,-0.143,100,RIVN,RIVN,6/14/24,11.0,PUT,326360837,USD
2024-06-07T13:51:14-0400,Trade,Sell to Open,SELL_TO_OPEN,RIVN  240614P00011000,Equity Option,Sold 1 RIVN 06/14/24 Put 11.00 @ 0.20,20.00,1,20.00,-1.00,-0.143,100,RIVN,RIVN,6/14/24,11.0,PUT,326360785,USD
2024-06-07T13:50:22-0400,Trade,Sell to Close,SELL_TO_CLOSE,SBUX  240607C00077000,Equity Option,Sold 1 SBUX 06/07/24 Call 77.00 @ 4.05,405.00,1,405.00,0.00,-0.153,100,SBUX,SBUX,6/07/24,77.0,CALL,326360471,USD
2024-06-07T13:50:04-0400,Trade,Sell to Close,SELL_TO_CLOSE,SBUX  240607C00077000,Equity Option,Sold 1 SBUX 06/07/24 Call 77.00 @ 4.08,408.00,1,408.00,0.00,-0.153,100,SBUX,SBUX,6/07/24,77.0,CALL,326360350,USD
2024-06-07T13:50:04-0400,Trade,Buy to Close,BUY_TO_CLOSE,SBUX  240607C00082000,Equity Option,Bought 1 SBUX 06/07/24 Call 82.00 @ 0.02,-2.00,1,-2.00,0.00,-0.13,100,SBUX,SBUX,6/07/24,82.0,CALL,326360350,USD
2024-06-07T13:26:13-0400,Trade,Buy to Close,BUY_TO_CLOSE,SBUX  240607C00082000,Equity Option,Bought 1 SBUX 06/07/24 Call 82.00 @ 0.06,-6.00,1,-6.00,0.00,-0.13,100,SBUX,SBUX,6/07/24,82.0,CALL,326350436,USD
2024-06-07T13:26:13-0400,Trade,Sell to Close,SELL_TO_CLOSE,SBUX  240607C00077000,Equity Option,Sold 1 SBUX 06/07/24 Call 77.00 @ 4.44,444.00,1,444.00,0.00,-0.153,100,SBUX,SBUX,6/07/24,77.0,CALL,326350436,USD
2024-06-07T13:20:46-0400,Trade,Sell to Open,SELL_TO_OPEN,./RTYU4RTMQ4 240830C2350,Future Option,Sold 3 /RTYU4 RTMQ4 08/30/24 Call 2350.00 @ 4.2,630.00,3,210.00,-7.50,-2.61,1,"./RTYU4RTMQ4 ",/RTYU4,8/30/24,2350.0,CALL,326347541,USD
2024-06-07T13:20:46-0400,Trade,Sell to Open,SELL_TO_OPEN,./RTYU4RTMQ4 240830P1750,Future Option,Sold 3 /RTYU4 RTMQ4 08/30/24 Put 1750.00 @ 6.7,"1,005.00",3,335.00,-7.50,-2.61,1,"./RTYU4RTMQ4 ",/RTYU4,8/30/24,1750.0,PUT,326347541,USD
2024-06-07T12:40:27-0400,Trade,Buy to Open,BUY_TO_OPEN,GME   240607P00033000,Equity Option,Bought 1 GME 06/07/24 Put 33.00 @ 4.55,-455.00,1,-455.00,-1.00,-0.13,100,GME,GME,6/07/24,33.0,PUT,326329997,USD
2024-06-07T12:36:38-0400,Trade,Sell to Open,SELL_TO_OPEN,./6EU4 EUUU4 240906C1.14,Future Option,Sold 5 /6EU4 EUUU4 09/06/24 Call 1.14000 @ 0.0005,312.50,5,62.50,-12.50,-9.60,1,"./6EU4 EUUU4 ",/6EU4,9/06/24,1.14,CALL,326328365,USD
2024-06-07T12:36:38-0400,Trade,Sell to Open,SELL_TO_OPEN,./6EU4 EUUU4 240906P1.04,Future Option,Sold 5 /6EU4 EUUU4 09/06/24 Put 1.04000 @ 0.0012,750.00,5,150.00,-12.50,-9.60,1,"./6EU4 EUUU4 ",/6EU4,9/06/24,1.04,PUT,326328365,USD
2024-06-07T12:31:03-0400,Trade,Sell to Close,SELL_TO_CLOSE,GME   240607P00033000,Equity Option,Sold 1 GME 06/07/24 Put 33.00 @ 2.10,210.00,1,210.00,0.00,-0.143,100,GME,GME,6/07/24,33.0,PUT,326325670,USD
2024-06-07T12:19:37-0400,Trade,Buy to Close,BUY_TO_CLOSE,SBUX  240607C00082000,Equity Option,Bought 1 SBUX 06/07/24 Call 82.00 @ 0.15,-15.00,1,-15.00,0.00,-0.13,100,SBUX,SBUX,6/07/24,82.0,CALL,326320608,USD
2024-06-07T12:19:37-0400,Trade,Sell to Close,SELL_TO_CLOSE,SBUX  240607C00077000,Equity Option,Sold 1 SBUX 06/07/24 Call 77.00 @ 4.73,473.00,1,473.00,0.00,-0.153,100,SBUX,SBUX,6/07/24,77.0,CALL,326320608,USD
2024-06-07T12:18:52-0400,Trade,Sell to Open,SELL_TO_OPEN,NDXP  240607C19060000,Equity Option,Sold 1 NDX 06/07/24 Call 19060.00 @ 31.10,"3,110.00",1,"3,110.00",-1.00,-0.133,100,NDXP,NDX,6/07/24,19060.0,CALL,326320272,USD
2024-06-07T12:18:52-0400,Trade,Sell to Open,SELL_TO_OPEN,NDXP  240607P19060000,Equity Option,Sold 1 NDX 06/07/24 Put 19060.00 @ 33.71,"3,371.00",1,"3,371.00",-1.00,-0.133,100,NDXP,NDX,6/07/24,19060.0,PUT,326320272,USD
2024-06-07T12:18:52-0400,Trade,Buy to Open,BUY_TO_OPEN,NDXP  240607C19080000,Equity Option,Bought 1 NDX 06/07/24 Call 19080.00 @ 22.00,"-2,200.00",1,"-2,200.00",-1.00,-0.13,100,NDXP,NDX,6/07/24,19080.0,CALL,326320272,USD
2024-06-07T12:18:52-0400,Trade,Buy to Open,BUY_TO_OPEN,NDXP  240607P19040000,Equity Option,Bought 1 NDX 06/07/24 Put 19040.00 @ 25.30,"-2,530.00",1,"-2,530.00",-1.00,-0.13,100,NDXP,NDX,6/07/24,19040.0,PUT,326320272,USD
2024-06-07T12:16:27-0400,Trade,Buy to Open,BUY_TO_OPEN,GME   240607P00033000,Equity Option,Bought 1 GME 06/07/24 Put 33.00 @ 3.75,-375.00,1,-375.00,-1.00,-0.13,100,GME,GME,6/07/24,33.0,PUT,326319128,USD
2024-06-07T12:16:08-0400,Trade,Sell to Close,SELL_TO_CLOSE,GME,Equity,Sold 50 GME @ 33.00,"1,650.00",50,33.00,0.00,-0.098,,,,,,,326318973,USD
2024-06-07T11:39:24-0400,Trade,Buy to Open,BUY_TO_OPEN,GME,Equity,Bought 40 GME @ 38.02,"-1,520.80",40,-38.02,0.00,-0.032,,,,,,,326303809,USD
2024-06-07T11:39:24-0400,Trade,Buy to Open,BUY_TO_OPEN,GME,Equity,Bought 10 GME @ 38.01,-380.10,10,-38.01,0.00,-0.008,,,,,,,326303809,USD
2024-06-07T10:02:02-0400,Trade,Buy,BUY,/MHGN4,Future,Bought 1 /MHGN4 @ 4.508,38.75,1,38.75,-0.85,-0.92,,,,,,,326241878,USD
2024-06-07T10:00:13-0400,Trade,Sell to Close,SELL_TO_CLOSE,GME,Equity,Sold 47 GME @ 39.00,"1,833.00",47,39.00,0.00,-0.106,,,,,,,326235592,USD
2024-06-07T10:00:13-0400,Trade,Sell to Close,SELL_TO_CLOSE,GME,Equity,Sold 3 GME @ 39.00,117.00,3,39.00,0.00,-0.013,,,,,,,326235592,USD
2024-06-07T09:44:39-0400,Trade,Buy to Open,BUY_TO_OPEN,GME,Equity,Bought 50 GME @ 47.07,"-2,353.50",50,-47.07,0.00,-0.04,,,,,,,326224824,USD
2024-06-07T09:35:27-0400,Trade,Buy to Close,BUY_TO_CLOSE,MSTR  240607C02000000,Equity Option,Bought 2 MSTR 06/07/24 Call 2000.00 @ 0.24,-48.00,2,-24.00,0.00,-0.25,100,MSTR,MSTR,6/07/24,2000.0,CALL,326212810,USD
2024-06-07T09:35:27-0400,Trade,Sell to Close,SELL_TO_CLOSE,MSTR  240607C02200000,Equity Option,Sold 1 MSTR 06/07/24 Call 2200.00 @ 0.10,10.00,1,10.00,0.00,-0.143,100,MSTR,MSTR,6/07/24,2200.0,CALL,326212810,USD
2024-06-07T09:35:27-0400,Trade,Sell to Close,SELL_TO_CLOSE,MSTR  240607C01900000,Equity Option,Sold 1 MSTR 06/07/24 Call 1900.00 @ 0.57,57.00,1,57.00,0.00,-0.143,100,MSTR,MSTR,6/07/24,1900.0,CALL,326212810,USD
2024-06-07T09:05:16-0400,Trade,Sell,SELL,/MHGN4,Future,Sold 1 /MHGN4 @ 4.5235,0.00,1,0.00,-0.85,-0.92,,,,,,,326203399,USD
